
Region,Province,Url,Bank,BranchCode,Address,PostalCode
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-madrid-4225.html,Caja Madrid,4225,"Portal de Villareal, 28-30 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/caja-madrid-4229.html,Caja Madrid,4229,"Avenida Derechos Humanos, 13-15 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-popular-0353.html,Banco Popular,0353,"Postas Kalea, 28 de Vitoria-gazteiz.",01001
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-popular-1126.html,Banco Popular,1126,"Avenida Gasteiz, 72 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-popular-1176.html,Banco Popular,1176,"Portal de Villarreal, 15 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-popular-1236.html,Banco Popular,1236,"Avenida de Santiago, 19 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-popular-1475.html,Banco Popular,1475,"Lermandabide, 8 - 1. Dep 1.2 Pol. Jundiz de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-cam-5260.html,Banco CAM,5260,"Avenida Independencia, 24 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/catalunya-caixa-1577.html,Catalunya Caixa,1577,"San Prudencio, 34 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/catalunya-caixa-1777.html,Catalunya Caixa,1777,"Avenida Gasteiz, 35 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/bancaja-1076.html,Bancaja,1076,"Fueros, 13 de Vitoria-gazteiz.",01000
Álava,Vitoria-gazteiz,http://www.iahorro.com/oficinas/vitoria-gazteiz/banco-sabadell-5196.html,Banco Sabadell,5196,Eduardo Dato 000045 de Vitoria-gazteiz.,01000
